Total nodes: 10318

First 200 node entries (instance, nodeLabel, x,y,z):
164: DILIANG-1, 164, (0.000000, -50.004879, 1950.000000)
165: DILIANG-1, 165, (0.000000, -0.004878, 1950.000000)
166: DILIANG-1, 166, (-50.000000, -500.004883, 1950.000000)
167: DILIANG-1, 167, (-50.000000, -450.004883, 1950.000000)
168: DILIANG-1, 168, (-50.000000, -400.004883, 1950.000000)
169: DILIANG-1, 169, (-50.000000, -350.004883, 1950.000000)
170: DILIANG-1, 170, (-50.000000, -300.004883, 1950.000000)
171: DILIANG-1, 171, (-50.000000, -250.004883, 1950.000000)
172: DILIANG-1, 172, (-50.000000, -200.004883, 1950.000000)
173: DILIANG-1, 173, (-50.000000, -150.004883, 1950.000000)
174: DILIANG-1, 174, (-50.000000, -100.004875, 1950.000000)
175: DILIANG-1, 175, (-50.000000, -50.004879, 1950.000000)
176: DILIANG-1, 176, (-50.000000, -0.004878, 1950.000000)
177: DILIANG-1, 177, (-100.000000, -500.004883, 1950.000000)
178: DILIANG-1, 178, (-100.000000, -450.004883, 1950.000000)
179: DILIANG-1, 179, (-100.000000, -400.004883, 1950.000000)
180: DILIANG-1, 180, (-100.000000, -350.004883, 1950.000000)
181: DILIANG-1, 181, (-100.000000, -300.004883, 1950.000000)
182: DILIANG-1, 182, (-100.000000, -250.004883, 1950.000000)
183: DILIANG-1, 183, (-100.000000, -200.004883, 1950.000000)
184: DILIANG-1, 184, (-100.000000, -150.004883, 1950.000000)
185: DILIANG-1, 185, (-100.000000, -100.004875, 1950.000000)
186: DILIANG-1, 186, (-100.000000, -50.004879, 1950.000000)
187: DILIANG-1, 187, (-100.000000, -0.004878, 1950.000000)
188: DILIANG-1, 188, (-150.000000, -500.004883, 1950.000000)
189: DILIANG-1, 189, (-150.000000, -450.004883, 1950.000000)
190: DILIANG-1, 190, (-150.000000, -400.004883, 1950.000000)
191: DILIANG-1, 191, (-150.000000, -350.004883, 1950.000000)
192: DILIANG-1, 192, (-150.000000, -300.004883, 1950.000000)
193: DILIANG-1, 193, (-150.000000, -250.004883, 1950.000000)
194: DILIANG-1, 194, (-150.000000, -200.004883, 1950.000000)
195: DILIANG-1, 195, (-150.000000, -150.004883, 1950.000000)
196: DILIANG-1, 196, (-150.000000, -100.004875, 1950.000000)
197: DILIANG-1, 197, (-150.000000, -50.004879, 1950.000000)
198: DILIANG-1, 198, (-150.000000, -0.004878, 1950.000000)
199: DILIANG-1, 199, (-200.000000, -500.004883, 1950.000000)
